price,year,mileage,location,tax,seller_type,model
"Rp20,000,000",2019,"30,000 km",Bandar Kidul,hidup,dealer,HONDA VARIO 125 ESPCBS ISS
"Rp23,200,000",2021,"30,000 km",Bandar Kidul,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp21,600,000",2021,"7,500 km",Kab. Bandung,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp19,900,000",2019,"15,000 km",Suko Manunggal,hidup,dealer,HONDA VARIO 125 ESPCBS ISS
"Rp23,600,000",2023,"15,000 km",Kota Jakarta Timur,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp24,100,000",2024,"2,500 km",Kota Jakarta Timur,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp23,400,000",2023,"7,500 km",Kota Jakarta Timur,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp22,100,000",2022,"15,000 km",Kota Matsum I,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp14,000,000",2017,"30,000 km",Kota Jakarta Timur,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp20,900,000",2022,"30,000 km",Kota Jakarta Timur,hidup,dealer,HONDA VARIO 125 ESPCBS ISS
"Rp24,200,000",2022,"7,500 km",Kota Bandung,hidup,dealer,HONDA ALN VARIO 160 ABS
"Rp15,750,000",2017,"30,000 km",Kota Jakarta Barat,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp22,300,000",2021,"15,000 km",Puji Mulyo,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp22,300,000",2021,"15,000 km",Puji Mulyo,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp20,900,000",2020,"15,000 km",Kab. Bandung,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp21,800,000",2022,"15,000 km",Banjarbendo,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp15,100,000",2016,"30,000 km",Sumokali,hidup,dealer,HONDA VARIO 125 ESPCBS ISS
"Rp19,600,000",2018,"30,000 km",Sidokumpul,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp22,300,000",2021,"30,000 km",Gading,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp22,100,000",2023,"7,500 km",Tengkerang Barat,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp21,900,000",2020,"30,000 km",Gading,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp22,300,000",2021,"15,000 km",Gading,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
